Index,Latitude,Longitude,Frequency
357,42.493898,-87.877178,5
358,42.501949,-87.876131,3
359,42.495548,-87.880153,5
360,42.499374,-87.872541,4
361,42.502149,-87.879635,9
362,42.499404,-87.879109,6
363,42.500137,-87.871216,5
364,42.497521,-87.877147,5
365,42.502297,-87.875987,9
366,42.499029,-87.878207,1
367,42.503391,-87.87638,5
368,42.49956,-87.875305,3
369,42.501522,-87.871098,3
370,42.501967,-87.871204,1
371,42.500497,-87.873859,5
372,42.493619,-87.876212,7
373,42.500764,-87.875035,2
374,42.49478,-87.872264,9
375,42.49741,-87.874137,4
376,42.494205,-87.874539,3
377,42.494295,-87.87779,7
378,42.496882,-87.875071,9
379,42.494038,-87.876963,6
380,42.496129,-87.879561,11
381,42.502312,-87.878321,11
382,42.496886,-87.870903,2
383,42.494207,-87.870575,4
384,42.502429,-87.875938,5
385,42.500658,-87.873839,2
386,42.502559,-87.872925,6
387,42.499933,-87.872491,2
388,42.497225,-87.877357,5
389,42.495361,-87.872749,11
390,42.50199,-87.874952,7
391,42.498856,-87.874598,5
392,42.50309,-87.879066,7
393,42.502976,-87.876346,9
394,42.502274,-87.873058,7
395,42.49732,-87.874428,5
396,42.496718,-87.878544,4
397,42.496178,-87.876256,12
398,42.495362,-87.870296,6
399,42.495586,-87.877998,8
400,42.501059,-87.87232,3
401,42.493862,-87.873632,3
402,42.495916,-87.879269,5
403,42.501506,-87.879545,1
404,42.497641,-87.872506,5
405,42.497759,-87.878797,11
406,42.494504,-87.870377,3
407,42.5888357,-87.8824091,25
408,42.584584,-87.887033,8
409,42.588134,-87.881923,12
410,42.589398,-87.882859,12
411,42.584521,-87.883479,11
412,42.591565,-87.880673,4
413,42.584587,-87.878781,9
414,42.589334,-87.877862,8
415,42.593433,-87.884701,9
416,42.586575,-87.885303,1
417,42.591907,-87.886569,8
418,42.58819,-87.887002,8
419,42.593008,-87.883832,2
420,42.587085,-87.885884,12
421,42.586859,-87.878606,11
422,42.590602,-87.88388,7
423,42.588548,-87.881694,12
424,42.583974,-87.877861,11
425,42.584622,-87.87837,1
426,42.591249,-87.880541,5
427,42.585063,-87.886248,7
428,42.589739,-87.87916,10
429,42.587418,-87.880227,8
430,42.587848,-87.886899,8
431,42.587235,-87.882409,8
432,42.585494,-87.882907,4
433,42.584921,-87.881443,12
434,42.593055,-87.88364,10
435,42.592406,-87.882176,6
436,42.587039,-87.878978,11
437,42.586322,-87.885843,10
438,42.586761,-87.881485,12
439,42.587347,-87.877468,9
440,42.591726,-87.879629,8
441,42.588269,-87.883556,11
442,42.584258,-87.883214,7
443,42.589461,-87.881869,10
444,42.586178,-87.88,11
445,42.58837,-87.886632,2
446,42.5909,-87.881613,1
447,42.585137,-87.882489,6
448,42.584291,-87.886388,8
449,42.585572,-87.877621,8
450,42.587722,-87.883852,5
451,42.586464,-87.885814,12
452,42.584245,-87.884767,1
453,42.588703,-87.882991,2
454,42.58828,-87.883673,4
455,42.584289,-87.881621,12
456,42.590623,-87.879018,5
457,42.589868,-87.886414,11
458,42.588813,-87.886191,3
459,42.588814,-87.882278,1
460,42.585958,-87.88488,8
461,42.588023,-87.883283,9
462,42.58842,-87.881534,4
463,42.593106,-87.884785,8
464,42.592469,-87.885611,2
465,42.591259,-87.886412,5
466,42.591714,-87.887207,9
467,42.584551,-87.88324,6
468,42.59149,-87.885659,2
469,42.591851,-87.886783,8
470,42.586468,-87.887112,10
471,42.587491,-87.879616,5
472,42.591339,-87.887169,12
473,42.593177,-87.882929,6
474,42.586887,-87.886802,1
475,42.584343,-87.886552,3
476,42.590684,-87.877778,8
477,42.58699,-87.881016,10
478,42.584058,-87.878061,2
479,42.587915,-87.877957,3
480,42.58926,-87.884477,6
481,42.589292,-87.881803,8
482,42.592864,-87.88118,6
483,42.587913,-87.877833,3
484,42.584855,-87.878178,12
485,42.591007,-87.882237,9
486,42.584382,-87.887388,11
487,42.591402,-87.879371,4
488,42.587972,-87.882003,10
489,42.585644,-87.87853,8
490,42.588397,-87.88286,12
491,42.588178,-87.879857,3
492,42.593293,-87.886543,7
493,42.590867,-87.879261,1
494,42.589299,-87.885346,2
495,42.585672,-87.88188,9
496,42.593149,-87.885058,5
497,42.591148,-87.885546,1
498,42.585264,-87.882865,2
499,42.591431,-87.880071,10
500,42.588667,-87.878505,3
501,42.588793,-87.882041,11
502,42.586635,-87.879757,6
503,42.585186,-87.885329,8
504,42.591033,-87.881608,12
505,42.585891,-87.879833,5
506,42.588307,-87.886241,1
507,42.58939,-87.878448,2
508,42.56605107,-87.83921943,20
509,42.565842,-87.839503,9
510,42.564066,-87.841207,12
511,42.564881,-87.83871,1
512,42.563005,-87.841191,9
513,42.566753,-87.842874,3
514,42.569118,-87.837703,10
515,42.569768,-87.838283,7
516,42.563708,-87.843421,1
517,42.567765,-87.837276,6
518,42.567441,-87.839873,11
519,42.566291,-87.838881,8
520,42.567202,-87.839486,12
521,42.564614,-87.843254,9
522,42.567699,-87.837002,4
523,42.568036,-87.841001,10
524,42.56797,-87.83569,5
525,42.561622,-87.837443,1
526,42.561223,-87.841819,2
527,42.564525,-87.844034,4
528,42.564433,-87.836876,7
529,42.561588,-87.837797,5
530,42.563774,-87.837854,9
531,42.569768,-87.835779,7
532,42.563173,-87.834718,2
533,42.563055,-87.842404,3
534,42.563518,-87.842416,3
535,42.567342,-87.840411,11
536,42.566185,-87.836145,3
537,42.562075,-87.844038,3
538,42.565876,-87.841966,12
539,42.563809,-87.838771,7
540,42.563829,-87.837491,6
541,42.562003,-87.841521,8
542,42.561116,-87.837264,9
543,42.566577,-87.841238,11
544,42.565648,-87.841397,11
545,42.566504,-87.841264,5
546,42.567063,-87.843306,12
547,42.569607,-87.841712,6
548,42.566531,-87.835169,4
549,42.561105,-87.836281,11
550,42.56584,-87.837197,1
551,42.563099,-87.839668,7
552,42.568722,-87.838808,5
553,42.562415,-87.843563,3
554,42.566726,-87.836559,9
555,42.562287,-87.837537,1
556,42.565762,-87.841176,3
557,42.563715,-87.842253,12
558,42.563148,-87.835678,5
559,42.564948,-87.842789,2
560,42.565571,-87.84338,9
561,42.56223,-87.841129,6
562,42.568105,-87.835572,8
563,42.565636,-87.841544,11
564,42.563449,-87.834362,12
565,42.567619,-87.841375,2
566,42.562271,-87.842568,1
567,42.561485,-87.836281,3
568,42.567814,-87.837529,4
569,42.561061,-87.837776,11
570,42.561066,-87.843395,5
571,42.565882,-87.841568,1
572,42.563513,-87.84198,1
573,42.566355,-87.836626,9
574,42.569938,-87.839212,8
575,42.56313,-87.844075,5
576,42.569114,-87.843577,3
577,42.561693,-87.837001,4
578,42.563937,-87.838225,2
579,42.562324,-87.837491,7
580,42.564193,-87.839137,1
581,42.570868,-87.841086,3
582,42.563913,-87.834501,7
583,42.564651,-87.841507,2
584,42.565301,-87.834349,2
585,42.565167,-87.839115,5
586,42.565795,-87.839442,4
587,42.567553,-87.836587,10
588,42.56352,-87.844127,6
589,42.567445,-87.83732,4
590,42.571046,-87.841308,9
591,42.568808,-87.840123,2
592,42.567256,-87.842184,12
593,42.561766,-87.839487,6
594,42.565402,-87.838032,9
595,42.567628,-87.843285,5
596,42.565589,-87.83611,5
597,42.562581,-87.842045,12
598,42.568972,-87.841906,4
599,42.567388,-87.836412,10
600,42.565971,-87.837995,5
601,42.561071,-87.841991,11
602,42.569646,-87.842773,9
603,42.569472,-87.835043,1
604,42.565852,-87.843875,9
605,42.563928,-87.834642,6
606,42.564037,-87.836575,1
607,42.561827,-87.840093,7
608,42.568717,-87.834625,7
609,Not Found,Not Found,undefined
610,Not Found,Not Found,undefined
